invoice_id,customer_id,invoice_date,billing_address,billing_city,billing_state,billing_country,billing_postal_code,total
1,18,03-01-2017 00:00,627 Broadway,New York,NY,USA,10012-2612,15.84
2,30,03-01-2017 00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,9.9
3,40,05-01-2017 00:00,"8, Rue Hanovre",Paris,None,France,75002,1.98
4,18,06-01-2017 00:00,627 Broadway,New York,NY,USA,10012-2612,7.92
5,27,07-01-2017 00:00,1033 N Park Ave,Tucson,AZ,USA,85719,16.83
6,31,10-01-2017 00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
7,49,12-01-2017 00:00,Ordynacka 10,Warsaw,None,Poland,00-358,10.89
8,59,13-01-2017 00:00,"3,Raj Bhavan Road",Bangalore,None,India,560001,9.9
9,18,18-01-2017 00:00,627 Broadway,New York,NY,USA,10012-2612,8.91
10,31,18-01-2017 00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
11,38,20-01-2017 00:00,Barbarossastraße 19,Berlin,None,Germany,10779,10.89
12,42,21-01-2017 00:00,"9, Place Louis Barthou",Bordeaux,None,France,33000,3.96
13,35,22-01-2017 00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None,0.99
14,25,23-01-2017 00:00,319 N. Frances Street,Madison,WI,USA,53703,0.99
15,44,25-01-2017 00:00,Porthaninkatu 9,Helsinki,None,Finland,530,3.96
16,1,26-01-2017 00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,8.91
17,20,28-01-2017 00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,10.89
18,24,02-02-2017 00:00,162 E Superior Street,Chicago,IL,USA,60611,4.95
19,10,06-02-2017 00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,6.93
20,43,06-02-2017 00:00,"68, Rue Jouvence",Dijon,None,France,21000,9.9
21,9,07-02-2017 00:00,Sønder Boulevard 51,Copenhagen,None,Denmark,1720,8.91
22,35,08-02-2017 00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None,1.98
23,53,09-02-2017 00:00,113 Lupus St,London,None,United Kingdom,SW1V 3EN,9.9
24,4,10-02-2017 00:00,Ullevålsveien 14,Oslo,None,Norway,171,11.88
25,39,11-02-2017 00:00,"4, Rue Milton",Paris,None,France,75009,7.92
26,55,15-02-2017 00:00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98
27,35,15-02-2017 00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,None,Portugal,None,7.92
28,12,17-02-2017 00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,2.97
29,45,17-02-2017 00:00,Erzsébet krt. 58.,Budapest,None,Hungary,H-1073,5.94
